region,category,parameter,mode,powertrain,year,unit,value,percentage
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350,"35000,00%"
Austria,Historical,EV stock share,Cars,EV,2010,percent,789.999.961.853,"78999996185300,00%"
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3,"300,00%"
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7,"700,00%"
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62,"6200,00%"
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48,"4800,00%"
Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61,"6100,00%"
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8,"800,00%"
Belgium,Historical,EV sales share,Cars,EV,2010,percent,9.999.999.776.483,"999999977648300,00%"
Belgium,Historical,EV stock,Cars,FCEV,2010,Vehicles,1,"100,00%"
Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,9,"900,00%"
Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,2,"200,00%"
Belgium,Historical,EV stock share,Buses,EV,2010,percent,18.999.999.389.052,"1899999938905200,00%"
Belgium,Historical,EV sales share,Vans,EV,2010,percent,13.000.000.268.221,"1300000026822100,00%"
Belgium,Historical,EV stock share,Vans,EV,2010,percent,10.999.999.940.395,"1099999994039500,00%"
Belgium,Historical,EV stock share,Cars,EV,2010,percent,1.300.000.003.539,"130000000353900,00%"
Belgium,Historical,EV stock share,Trucks,EV,2010,percent,1.300.000.003.539,"130000000353900,00%"
Brazil,Historical,EV sales,Cars,BEV,2010,Vehicles,10,"1000,00%"
Brazil,Historical,EV sales share,Cars,EV,2010,percent,34.999.998.752,"3499999875200,00%"
Canada,Historical,EV sales share,Trucks,EV,2010,percent,109.999.999.404,"10999999940400,00%"
Canada,Historical,EV stock,Cars,FCEV,2010,Vehicles,5,"500,00%"
Canada,Historical,EV sales,Trucks,BEV,2010,Vehicles,1,"100,00%"
China,Historical,Electricity demand,Buses,EV,2010,GWh,150,"15000,00%"
China,Historical,Electricity demand,Vans,EV,2010,GWh,3,"300,00%"
China,Historical,Electricity demand,Cars,EV,2010,GWh,46,"4600,00%"
China,Historical,EV sales,Cars,BEV,2010,Vehicles,1100,"110000,00%"
China,Historical,EV sales,Vans,BEV,2010,Vehicles,120,"12000,00%"
China,Historical,EV stock,Vans,BEV,2010,Vehicles,400,"40000,00%"
China,Historical,EV sales,Buses,BEV,2010,Vehicles,970,"97000,00%"
China,Historical,EV stock,Buses,BEV,2010,Vehicles,1900,"190000,00%"
China,Historical,EV sales share,Buses,EV,2010,percent,189.999.997.615.814,"18999999761581400,00%"
China,Historical,EV stock,Cars,BEV,2010,Vehicles,1600,"160000,00%"
China,Historical,EV sales,Cars,PHEV,2010,Vehicles,340,"34000,00%"
China,Historical,EV stock,Cars,PHEV,2010,Vehicles,340,"34000,00%"
China,Historical,EV stock,Trucks,BEV,2010,Vehicles,16,"1600,00%"
China,Historical,EV stock share,Buses,EV,2010,percent,54.999.999.701.977,"5499999970197700,00%"
China,Historical,EV sales share,Vans,EV,2010,percent,9.999.999.776.483,"999999977648300,00%"
China,Historical,EV stock share,Vans,EV,2010,percent,5.499.999.970.198,"549999997019800,00%"
China,Historical,EV sales share,Cars,EV,2010,percent,9.999.999.776.483,"999999977648300,00%"
China,Historical,EV stock share,Cars,EV,2010,percent,3.100.000.089.034,"310000008903400,00%"
China,Historical,EV stock share,Trucks,EV,2010,percent,110.000.000.859,"11000000085900,00%"
China,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,230.000.005.104,"23000000510400,00%"
China,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,"1,00E+09","99999997473,79%"
China,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,"2,90E+09","290000007225,90%"
China,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",14,"1400,00%"
China,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",620.000.004.768.372,"62000000476837200,00%"
China,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",170.000.004.768.372,"17000000476837200,00%"
Denmark,Historical,EV stock share,Cars,EV,2010,percent,3.700.000.001.118,"370000000111800,00%"
Denmark,Historical,EV stock share,Trucks,EV,2010,percent,19.999.999.552.965,"1999999955296500,00%"
Denmark,Historical,EV sales share,Trucks,EV,2010,percent,140.000.000.596.046,"14000000059604600,00%"
Denmark,Historical,EV sales share,Vans,EV,2010,percent,37.000.000.476.837,"3700000047683700,00%"
Denmark,Historical,EV stock share,Vans,EV,2010,percent,1.399.999.950.081,"139999995008100,00%"
Denmark,Historical,EV sales,Trucks,BEV,2010,Vehicles,4,"400,00%"
Denmark,Historical,EV stock,Trucks,BEV,2010,Vehicles,9,"900,00%"
Denmark,Historical,EV stock,Cars,BEV,2010,Vehicles,59,"5900,00%"
Denmark,Historical,EV stock,Cars,PHEV,2010,Vehicles,20,"2000,00%"
Denmark,Historical,EV sales,Vans,BEV,2010,Vehicles,6,"600,00%"
Denmark,Historical,EV stock,Vans,BEV,2010,Vehicles,6,"600,00%"
EU27,Historical,EV sales share,Buses,EV,2010,percent,400.000.005.960.465,"40000000596046500,00%"
EU27,Historical,EV sales,Cars,BEV,2010,Vehicles,1100,"110000,00%"
EU27,Historical,EV stock,Cars,BEV,2010,Vehicles,4900,"490000,00%"
EU27,Historical,EV sales,Cars,FCEV,2010,Vehicles,16,"1600,00%"
EU27,Historical,EV stock,Cars,FCEV,2010,Vehicles,20,"2000,00%"
EU27,Historical,EV sales,Cars,PHEV,2010,Vehicles,91,"9100,00%"
EU27,Historical,EV stock share,Trucks,EV,2010,percent,2.199.999.988.079,"219999998807900,00%"
EU27,Historical,EV sales,Buses,BEV,2010,Vehicles,130,"13000,00%"
EU27,Historical,EV stock,Buses,BEV,2010,Vehicles,1900,"190000,00%"
EU27,Historical,EV sales,Vans,BEV,2010,Vehicles,1300,"130000,00%"
EU27,Historical,EV stock,Vans,BEV,2010,Vehicles,2900,"290000,00%"
EU27,Historical,EV sales,Vans,FCEV,2010,Vehicles,2,"200,00%"
EU27,Historical,EV stock,Vans,FCEV,2010,Vehicles,2,"200,00%"
EU27,Historical,EV stock,Vans,PHEV,2010,Vehicles,210,"21000,00%"
EU27,Historical,EV charging points,EV,Publicly available slow,2010,charging points,7300,"730000,00%"
EU27,Historical,EV stock share,Buses,EV,2010,percent,300.000.011.920.929,"30000001192092900,00%"
EU27,Historical,EV sales share,Vans,EV,2010,percent,100.000.001.490.116,"10000000149011600,00%"
EU27,Historical,EV stock share,Vans,EV,2010,percent,13.000.000.268.221,"1300000026822100,00%"
EU27,Historical,EV sales share,Cars,EV,2010,percent,9.999.999.776.483,"999999977648300,00%"
EU27,Historical,EV stock share,Cars,EV,2010,percent,2.400.000.113.994,"240000011399400,00%"
EU27,Historical,EV sales share,Trucks,EV,2010,percent,12.000.000.104.308,"1200000010430800,00%"
